repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
dlemstra/Magick.NET,"Go, NuGet, crates.io, npm, pypi",C#,3938,0.0,86,86,100,"Magick.NET-Q16-AnyCPU, Magick.NET-Q16-HDRI-AnyCPU, Magick.NET-Q16-HDRI-OpenMP-arm64, Magick.NET-Q16-HDRI-OpenMP-x64, Magick.NET-Q16-HDRI-arm64, Magick.NET-Q16-HDRI-x64, Magick.NET-Q16-HDRI-x86, Magick"
github/advisory-database,"Go, Maven, NuGet, RubyGems, crates.io, npm, packagist, pypi",,2312,0.0,83,68,82,"@cypress/request, @nubosoftware/node-static, Microsoft.AspNetCore.All, Microsoft.AspNetCore.App, Microsoft.AspNetCore.App.Runtime.linux-arm, Microsoft.AspNetCore.App.Runtime.linux-arm64, Microsoft.Asp"
MervinPraison/PraisonAI,pypi,Python,8039,0.0,81,81,100,"PraisonAI, praisonai, praisonai-platform, praisonaiagents"
n8n-io/n8n,npm,TypeScript,190991,0.0,81,80,99,"@n8n/n8n-nodes-langchain, n8n, n8n-nodes-base"
kubernetes/kubernetes,"Go, Maven, NuGet, swifturl",Go,122677,0.0,79,73,92,"KubernetesClient, com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http"
usememos/memos,Go,Go,60367,0.0,75,66,88,github.com/usememos/memos
apache/struts,Maven,Java,1354,0.0,74,69,93,"com.opensymphony:xwork, org.apache.struts.xwork:xwork-core, org.apache.struts:struts-core, org.apache.struts:struts-extras, org.apache.struts:struts-parent, org.apache.struts:struts2-convention-plugin"
FasterXML/jackson-databind,Maven,Java,3724,0.1,72,72,100,"com.fasterxml.jackson.core:jackson-databind, io.apiman:apiman-manager-api-impl, org.springframework.security:spring-security-core"
mlflow/mlflow,pypi,Python,26287,0.0,72,54,75,mlflow
ansible/ansible,pypi,Python,68736,0.0,71,68,96,"ansible, ansible-core"
getgrav/grav,packagist,PHP,15509,0.0,70,64,91,"getgrav/grav, getgrav/grav-plugin-api, getgrav/grav-plugin-form"
apache/superset,pypi,TypeScript,73155,0.0,68,53,78,"apache-superset, superset"
saltstack/salt,pypi,Python,15475,0.0,65,65,100,salt
mantisbt/mantisbt,packagist,PHP,1777,0.1,64,63,98,mantisbt/mantisbt
grafana/grafana,"Go, npm",TypeScript,74138,0.0,63,61,97,"@grafana/data, github.com/grafana/grafana, github.com/grafana/grafana/pkg/web"
python-pillow/Pillow,"Go, NuGet, crates.io, npm, pypi",Python,13597,0.0,62,62,100,"Pillow, SkiaSharp, electron, github.com/chai2010/webp, libwebp-sys, libwebp-sys2, magick.net-q16-anycpu, magick.net-q16-hdri-anycpu, magick.net-q16-x64, magick.net-q8-anycpu, magick.net-q8-openmp-x64,"
spring-projects/spring-framework,Maven,Java,60008,0.0,62,62,100,"org.springframework.boot:spring-boot-starter-web, org.springframework.boot:spring-boot-starter-webflux, org.springframework.security:spring-security-core, org.springframework:spring, org.springframewo"
directus/directus,npm,TypeScript,36075,0.0,60,58,97,"@directus/api, @directus/app, @directus/env, @directus/storage-driver-s3, @directus/types, directus"
rancher/rancher,Go,Go,25636,0.0,59,58,98,"github.com/rancher/rancher, github.com/rancher/rke2, github.com/rancher/wrangler"
vercel/next.js,npm,JavaScript,139668,0.0,57,56,98,"@vitejs/plugin-rsc, next, postiz, react-server-dom-parcel, react-server-dom-turbopack, react-server-dom-webpack"
phpmyadmin/phpmyadmin,packagist,PHP,7878,0.0,56,56,100,phpmyadmin/phpmyadmin
gogs/gogs,"Go, npm",Go,47588,0.0,56,47,84,"code.gitea.io/gitea, github.com/gogits/gogs, github.com/gogs/gogs, gogs.io/gogs, pdfjs-dist"
argoproj/argo-cd,Go,Go,23046,0.0,55,54,98,"github.com/argoproj/argo-cd, github.com/argoproj/argo-cd/v2, github.com/argoproj/argo-cd/v2/server, github.com/argoproj/argo-cd/v3, github.com/argoproj/gitops-engine, github.com/redhat-developer/gitop"
hashicorp/vault,Go,Go,35715,0.0,54,49,91,"github.com/hashicorp/vault, github.com/hashicorp/vault-plugin-secrets-gcp, github.com/openbao/openbao"
siyuan-note/siyuan,Go,TypeScript,44252,0.0,54,29,54,"github.com/siyuan-note/siyuan, github.com/siyuan-note/siyuan/kernel, siyuan"
octobercms/october,packagist,PHP,11142,0.0,53,49,92,"october/backend, october/cms, october/october, october/rain, october/system"
mautic/mautic,packagist,PHP,9784,0.0,52,51,98,"mautic/core, mautic/core-lib, mautic/grapes-js-builder-bundle"
go-gitea/gitea,Go,Go,56103,0.0,52,51,98,"code.gitea.io/gitea, github.com/go-gitea/gitea, gogs.io/gogs"
umbraco/Umbraco-CMS,"NuGet, npm",C#,5193,0.0,51,45,88,"@umbraco-cms/backoffice, Umbraco.CMS, Umbraco.Cms, Umbraco.Cms.Api.Delivery, Umbraco.Cms.Api.Management, Umbraco.Cms.Core, Umbraco.Cms.Infrastructure, Umbraco.Cms.StaticAssets, Umbraco.Cms.Web.BackOff"
gradio-app/gradio,pypi,Python,42798,0.0,51,39,76,"Gradio, gradio"
rack/rack,RubyGems,Ruby,5121,0.8,50,50,100,"rack, rack-session"
shopware/shopware,packagist,PHP,3359,0.0,50,48,96,"shopware/core, shopware/platform, shopware/shopware, shopware/storefront"
traefik/traefik,Go,Go,63430,0.0,49,49,100,"github.com/containous/traefik, github.com/containous/traefik/api, github.com/containous/traefik/v2, github.com/containous/traefik/v2/pkg/api, github.com/traefik/traefik, github.com/traefik/traefik/api"
sparklemotion/nokogiri,RubyGems,C,6267,0.9,49,47,96,"loofah, nokogiri, rexical"
pyload/pyload,pypi,Python,3789,0.0,48,30,62,pyload-ng
electron/electron,"Go, NuGet, crates.io, npm, pypi",C++,121530,0.0,47,47,100,"Pillow, SkiaSharp, electron, github.com/chai2010/webp, libwebp-sys, libwebp-sys2, magick.net-q16-anycpu, magick.net-q16-hdri-anycpu, magick.net-q16-x64, magick.net-q8-anycpu, magick.net-q8-openmp-x64,"
dotnet/runtime,NuGet,C#,17924,0.0,47,47,100,"Microsoft.AspNetCore.App.Runtime.linux-arm, Microsoft.AspNetCore.App.Runtime.linux-arm64, Microsoft.AspNetCore.App.Runtime.linux-musl-arm, Microsoft.AspNetCore.App.Runtime.linux-musl-arm64, Microsoft."
netty/netty,"Go, Maven, swifturl",Java,34970,0.0,47,46,98,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, golang.org/x/ne"
patriksimek/vm2,npm,JavaScript,4072,0.5,47,45,96,"@budibase/server, @soketi/soketi, directus, safe-eval, vm2"
vllm-project/vllm,pypi,Python,81891,0.0,46,42,91,"vllm, xgrammar"
shopware/platform,packagist,PHP,3359,0.0,45,45,100,"shopware/core, shopware/platform, shopware/production, shopware/storefront"
uutils/coreutils,crates.io,Rust,23424,0.0,45,24,53,"coreutils, uu_od"
getkirby/kirby,packagist,PHP,1508,0.0,44,41,93,"getkirby/cms, getkirby/kirby, getkirby/panel"
